,id,memory,cpu,process_id,date_created,name,process_date_created,process_date_end
0,1,9.42578125,99.0,2,2021-06-08 08:19:01.109130,python3.exe,2021-06-08 08:18:07.250783,2021-06-09 08:40:45.273009
1,2,14.8984375,0.0,3,2021-06-08 08:19:01.114126,chrome.exe,2021-06-08 08:18:07.254984,2021-06-08 18:17:15.918372
2,3,83.5,37.3,1,2021-06-08 08:19:01.128129,all_info_pc,2021-06-08 08:18:06.339091,2021-06-09 08:40:45.312952
3,4,4734.52734375,100.1,4,2021-06-08 08:19:33.180178,RocketLeague.exe,2021-06-08 08:18:43.330588,2021-06-08 08:36:55.885762
4,5,9.35546875,100.0,2,2021-06-08 08:20:00.221593,python3.exe,2021-06-08 08:18:07.250783,2021-06-09 08:40:45.273009
5,6,14.90234375,0.0,3,2021-06-08 08:20:00.226810,chrome.exe,2021-06-08 08:18:07.254984,2021-06-08 18:17:15.918372
6,7,93.2,20.7,1,2021-06-08 08:20:00.236595,all_info_pc,2021-06-08 08:18:06.339091,2021-06-09 08:40:45.312952
7,8,4616.05078125,61.0,4,2021-06-08 08:20:24.168932,RocketLeague.exe,2021-06-08 08:18:43.330588,2021-06-08 08:36:55.885762
8,9,9.296875,100.0,2,2021-06-08 08:21:01.559076,python3.exe,2021-06-08 08:18:07.250783,2021-06-09 08:40:45.273009
9,10,14.90234375,0.0,3,2021-06-08 08:21:01.567074,chrome.exe,2021-06-08 08:18:07.254984,2021-06-08 18:17:15.918372
10,11,92.4,32.1,1,2021-06-08 08:21:01.581077,all_info_pc,2021-06-08 08:18:06.339091,2021-06-09 08:40:45.312952
11,12,4596.546875,87.2,4,2021-06-08 08:21:15.459169,RocketLeague.exe,2021-06-08 08:18:43.330588,2021-06-08 08:36:55.885762
12,13,9.296875,100.1,2,2021-06-08 08:22:00.947828,python3.exe,2021-06-08 08:18:07.250783,2021-06-09 08:40:45.273009
13,14,14.90625,0.0,3,2021-06-08 08:22:00.956832,chrome.exe,2021-06-08 08:18:07.254984,2021-06-08 18:17:15.918372
14,15,87.5,45.5,1,2021-06-08 08:22:00.975828,all_info_pc,2021-06-08 08:18:06.339091,2021-06-09 08:40:45.312952
15,16,4598.25390625,98.1,4,2021-06-08 08:22:06.020885,RocketLeague.exe,2021-06-08 08:18:43.330588,2021-06-08 08:36:55.885762
16,17,4651.86328125,59.1,4,2021-06-08 08:23:00.079417,RocketLeague.exe,2021-06-08 08:18:43.330588,2021-06-08 08:36:55.885762
17,18,9.296875,98.6,2,2021-06-08 08:23:00.086419,python3.exe,2021-06-08 08:18:07.250783,2021-06-09 08:40:45.273009
18,19,15.015625,0.0,3,2021-06-08 08:23:00.096764,chrome.exe,2021-06-08 08:18:07.254984,2021-06-08 18:17:15.918372
19,20,88.7,35.2,1,2021-06-08 08:23:00.108434,all_info_pc,2021-06-08 08:18:06.339091,2021-06-09 08:40:45.312952
20,21,4623.79296875,99.1,4,2021-06-08 08:24:00.423241,RocketLeague.exe,2021-06-08 08:18:43.330588,2021-06-08 08:36:55.885762
21,22,9.2265625,99.0,2,2021-06-08 08:24:00.429239,python3.exe,2021-06-08 08:18:07.250783,2021-06-09 08:40:45.273009
22,23,15.0234375,0.0,3,2021-06-08 08:24:00.448238,chrome.exe,2021-06-08 08:18:07.254984,2021-06-08 18:17:15.918372
